<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
250820,000000,106.0000000,106.0000000,105.9000000,105.9000000,52
260820,000000,105.7500000,107.9000000,105.3500000,107.8000000,412
270820,000000,107.7500000,107.7500000,105.3500000,105.3500000,1161
280820,000000,105.0500000,105.5000000,104.7500000,105.4500000,994
310820,000000,106.1500000,106.1500000,103.9000000,103.9000000,652
010920,000000,104.2000000,104.9500000,103.3500000,104.7000000,834
020920,000000,105.9000000,106.9500000,105.5500000,106.5000000,835
030920,000000,107.5000000,107.5500000,103.5500000,104.0500000,2481
040920,000000,104.0000000,105.7500000,102.9000000,104.2500000,1457
070920,000000,104.6000000,105.7500000,104.6000000,105.5500000,717
080920,000000,104.4000000,104.4000000,103.0000000,103.7500000,575
090920,000000,104.1000000,108.0000000,104.1000000,106.5000000,1707
100920,000000,107.8000000,107.8000000,105.4000000,105.4000000,1370
110920,000000,105.8500000,107.2500000,105.6000000,106.6000000,409
140920,000000,107.5500000,107.6500000,106.9000000,106.9000000,1183
150920,000000,107.3000000,108.1000000,107.0500000,107.0500000,708
160920,000000,107.1500000,108.4500000,106.6000000,106.6000000,884
170920,000000,106.3000000,107.1500000,106.0500000,107.1500000,312
180920,000000,106.6000000,106.9500000,104.9000000,105.0500000,391
210920,000000,104.8500000,104.8500000,100.9500000,102.5500000,4453
220920,000000,102.1000000,102.6000000,101.1500000,102.2500000,1361
230920,000000,102.6000000,103.6000000,101.5000000,101.5000000,526
240920,000000,102.2000000,104.6000000,102.1500000,103.7000000,776
250920,000000,102.7000000,103.8000000,100.6000000,103.7500000,931
280920,000000,105.0000000,107.0000000,104.9500000,106.5000000,1353
290920,000000,106.8000000,109.3000000,106.4500000,108.9500000,2888
300920,000000,108.1500000,108.1500000,105.7500000,105.8500000,1623
011020,000000,106.8500000,107.4500000,105.7000000,106.4500000,1970
021020,000000,105.2500000,107.0000000,105.1000000,106.8500000,660
051020,000000,107.7500000,108.4000000,106.6500000,108.4000000,774
061020,000000,108.7500000,108.7500000,105.3500000,105.3500000,352
071020,000000,107.9500000,108.2000000,107.1500000,107.7500000,837
081020,000000,108.4500000,108.4500000,106.9500000,107.7000000,884
091020,000000,108.1000000,108.9500000,107.9000000,108.2000000,1012
121020,000000,109.0000000,111.3500000,108.9500000,110.8500000,2382
131020,000000,110.2000000,110.8500000,110.1500000,110.8500000,781
141020,000000,111.1000000,111.7000000,111.0000000,111.0000000,4012
151020,000000,110.5500000,110.5500000,107.7500000,109.4000000,5228
161020,000000,109.2000000,109.3500000,108.4500000,108.4500000,2746
191020,000000,108.8500000,109.8000000,106.2000000,107.7000000,2254
201020,000000,108.4500000,108.5000000,107.6500000,107.7000000,855
211020,000000,106.7500000,107.3500000,105.5500000,105.8500000,673
221020,000000,105.4500000,109.5500000,105.4500000,109.4000000,2107
231020,000000,110.6000000,111.3000000,110.1000000,110.8500000,7256
261020,000000,111.5000000,111.5000000,104.4000000,105.4000000,4004
271020,000000,105.3000000,109.4500000,105.3000000,106.4000000,2932
281020,000000,104.7000000,104.7000000,101.6500000,102.0000000,5389
291020,000000,102.0000000,103.6000000,100.6000000,102.5500000,3119
301020,000000,102.5500000,105.6000000,101.8500000,105.6000000,4035
021120,000000,105.1000000,108.4000000,104.8000000,107.9000000,1467
031120,000000,107.9000000,112.0000000,107.9000000,111.6000000,1170
041120,000000,109.0000000,112.9000000,109.0000000,111.5500000,955
051120,000000,112.3500000,114.0000000,112.3500000,113.3000000,2299
061120,000000,113.1500000,113.8000000,112.3000000,113.1500000,1251
091120,000000,115.5000000,120.7500000,114.8500000,117.7500000,3665
101120,000000,118.2000000,119.9000000,117.5000000,119.5500000,18445
111120,000000,119.1500000,120.5500000,118.1000000,118.1000000,1139
121120,000000,118.3000000,118.9000000,115.3000000,116.9500000,1227
131120,000000,117.2000000,117.8000000,116.5500000,117.6500000,1065
161120,000000,118.3000000,119.2500000,116.4500000,117.6500000,2097
171120,000000,117.1500000,122.2000000,117.0500000,119.0000000,3051
181120,000000,118.3500000,118.3500000,116.1500000,116.1500000,1425
191120,000000,117.1000000,120.5500000,117.0000000,120.5000000,1049
201120,000000,120.3000000,120.3500000,118.9000000,120.3000000,1883
231120,000000,121.9500000,122.1500000,120.3000000,120.6500000,2253
241120,000000,121.5000000,121.5000000,118.1000000,119.1500000,1508
251120,000000,119.1500000,119.2500000,117.6000000,118.3500000,1245
261120,000000,118.3500000,118.3500000,117.3500000,117.4000000,1719
271120,000000,117.7000000,118.1000000,116.4500000,117.6000000,4568
301120,000000,118.0000000,118.6500000,116.7000000,117.5000000,1867
011220,000000,118.1000000,118.1000000,116.4500000,116.6000000,810
021220,000000,116.0000000,116.6500000,114.9000000,114.9500000,2951
031220,000000,114.8000000,114.8000000,113.1500000,113.5000000,779
041220,000000,113.1000000,114.0000000,112.3500000,113.7000000,913
071220,000000,113.8500000,114.5000000,113.6000000,114.4000000,834
081220,000000,114.7500000,115.2500000,113.4500000,115.2000000,1594
091220,000000,115.5500000,115.5500000,114.1000000,114.4000000,1210
101220,000000,114.9000000,115.6500000,114.3000000,115.1000000,3028
111220,000000,114.9000000,115.1500000,113.5500000,115.1500000,1726
141220,000000,115.7000000,116.7500000,115.6500000,115.7500000,1896
151220,000000,116.1500000,117.3000000,116.1500000,116.8000000,662
161220,000000,116.6500000,118.2000000,114.8500000,116.1000000,1268
171220,000000,117.1000000,117.3500000,116.4000000,116.6000000,2153
181220,000000,116.1500000,117.7000000,114.5500000,117.7000000,1453
211220,000000,118.0500000,118.1500000,113.4500000,116.5000000,3292
221220,000000,115.7000000,116.8000000,115.7000000,116.5500000,816
231220,000000,116.3500000,117.5000000,116.3000000,116.3000000,1250
281220,000000,117.8500000,120.9500000,117.8500000,120.5000000,6286
291220,000000,120.7000000,120.8500000,120.3000000,120.4000000,2573
301220,000000,120.6000000,121.0000000,120.0000000,120.0000000,812
040121,000000,121.0000000,122.4500000,119.6000000,122.2000000,1840
050121,000000,122.9000000,122.9000000,119.5000000,121.0000000,1864
060121,000000,121.2000000,124.7500000,119.5500000,123.7000000,1454
070121,000000,124.4500000,127.2000000,124.4500000,126.2500000,2522
080121,000000,127.1000000,129.8000000,126.8500000,128.3500000,1536
110121,000000,129.0000000,129.0000000,125.7500000,126.8000000,1417
120121,000000,126.8000000,127.2500000,125.8500000,126.2000000,2732
130121,000000,126.3000000,127.0500000,125.7000000,125.8500000,2187
140121,000000,125.9500000,126.0500000,124.0000000,124.0500000,2694
150121,000000,124.0500000,125.5000000,122.6000000,124.7500000,2695
180121,000000,124.2500000,124.2500000,122.0000000,123.7500000,1789
190121,000000,123.2500000,123.4500000,121.4500000,123.4500000,1819
200121,000000,123.7000000,124.0000000,122.1500000,123.9500000,2034
210121,000000,123.5500000,125.5000000,123.3000000,125.2500000,2021
220121,000000,124.9000000,125.8000000,123.4500000,125.5000000,2226
250121,000000,126.1000000,126.7500000,124.4500000,125.6000000,2613
260121,000000,125.3500000,127.4000000,124.6500000,125.4500000,1694
270121,000000,125.2500000,125.2500000,121.9000000,122.2500000,1740
280121,000000,121.8500000,125.0500000,119.8000000,124.3000000,3382
290121,000000,124.0500000,124.1500000,120.8000000,120.8000000,1726
010221,000000,122.4500000,123.8500000,122.2000000,123.6000000,1655
020221,000000,124.3000000,126.5500000,124.3000000,125.8500000,2159
030221,000000,127.4000000,127.4000000,125.7000000,126.2000000,2655
040221,000000,126.3000000,126.3000000,124.7500000,125.8500000,1638
050221,000000,124.0000000,124.6000000,123.5000000,124.5000000,664
080221,000000,125.4500000,126.7000000,124.7500000,125.7000000,2255
090221,000000,125.4500000,125.4500000,123.2000000,123.7500000,2088
100221,000000,124.5000000,124.5000000,121.3500000,123.2500000,4543
110221,000000,124.2500000,126.4500000,124.2500000,125.7000000,2664
120221,000000,125.5000000,129.3500000,124.2500000,129.1500000,1324
150221,000000,130.4500000,130.6000000,128.6500000,128.8000000,4412
160221,000000,128.7000000,129.8000000,128.6500000,129.6000000,1010
170221,000000,129.7000000,129.9000000,126.8500000,127.6500000,2106
180221,000000,127.4000000,127.4000000,125.7000000,126.1500000,2329
190221,000000,126.4500000,129.3000000,125.5000000,129.3000000,5030
220221,000000,130.1500000,131.0000000,125.4000000,126.2000000,4808
230221,000000,126.6500000,126.6500000,122.3500000,124.5500000,3720
240221,000000,124.6500000,125.0500000,123.5000000,124.3500000,889
250221,000000,124.6500000,126.0000000,123.9000000,123.9000000,2640
260221,000000,124.5500000,124.5500000,122.7000000,122.7000000,1674
010321,000000,124.0000000,124.8000000,123.5000000,124.3000000,1819
020321,000000,124.1000000,127.1000000,123.7000000,126.3500000,3449
030321,000000,126.8500000,127.1500000,124.5000000,124.5000000,1506
040321,000000,124.2000000,124.3500000,121.0500000,121.9500000,2055
050321,000000,121.5000000,125.0000000,121.5000000,124.7000000,2570
080321,000000,124.8500000,125.3000000,122.5000000,123.8500000,1401
090321,000000,124.9000000,125.9000000,123.8000000,124.8000000,909
100321,000000,124.3000000,127.0000000,124.3000000,126.8000000,10995
110321,000000,127.3500000,128.7000000,127.3500000,127.9500000,1905
120321,000000,127.5000000,127.6000000,126.5000000,127.2500000,6216
150321,000000,127.4500000,127.4500000,125.5000000,126.1500000,842
160321,000000,126.3000000,127.7000000,126.1000000,127.1500000,767
170321,000000,127.0000000,127.4500000,125.6500000,126.7500000,1155
180321,000000,127.1500000,127.6000000,126.0000000,127.1000000,3525
190321,000000,127.1000000,127.4000000,125.6500000,125.7500000,1517
220321,000000,125.3500000,128.1500000,125.0000000,127.3500000,918
230321,000000,126.6500000,127.7500000,125.4500000,125.4500000,1215
240321,000000,125.3000000,126.4000000,123.8500000,123.8500000,2578
250321,000000,124.5000000,126.1000000,123.5000000,126.1000000,2015
260321,000000,125.4000000,126.2500000,124.2500000,126.0000000,1408
290321,000000,125.7500000,127.1000000,124.3000000,126.7500000,869
300321,000000,126.7500000,128.1500000,123.1000000,127.9000000,12530
310321,000000,127.6500000,131.2500000,127.2500000,130.5500000,3066
010421,000000,131.7400000,132.7800000,129.9800000,131.6800000,1549
060421,000000,132.3800000,132.8600000,131.9200000,132.5000000,4056
070421,000000,132.5200000,133.9200000,131.8000000,132.5200000,2292
080421,000000,133.0200000,135.1800000,132.2000000,134.6400000,1091
090421,000000,133.8400000,136.0000000,133.8200000,135.8600000,1599
