<DATA>,<SCHNEIDER>,<SIEMENS>
31.12.2020,120.2,117.18
30.12.2020,120.7,119.22
29.12.2020,120.85,118.4
28.12.2020,118.15,114.78
24.12.2020,117.1,114.42
23.12.2020,117.5,115.94
22.12.2020,116.45,116.5
21.12.2020,115.5,116.62
18.12.2020,116.1,115.38
17.12.2020,116.6,112.5
16.12.2020,117.4,113.84
15.12.2020,116.65,113.06
14.12.2020,115.95,114.02
11.12.2020,114.4,114.72
10.12.2020,115.2,112.64
09.12.2020,116,112.3
08.12.2020,114.1,111.28
07.12.2020,113.65,112.68
04.12.2020,112.7,112.72
03.12.2020,114.85,112.4
02.12.2020,116.2,112.28
01.12.2020,117.3,111.34
30.11.2020,118.85,112.9
27.11.2020,117,112.74
26.11.2020,118.85,112.87
25.11.2020,118.65,110.3
24.11.2020,120.85,109.74
23.11.2020,121.3,109.16
20.11.2020,118.6,110.48
19.11.2020,116.55,111.72
18.11.2020,117.35,113.26
17.11.2020,117.4,113.14
16.11.2020,118.15,114.9
13.11.2020,117.1,118.04
12.11.2020,117,115.3
11.11.2020,119.15,110.84
10.11.2020,118,109.3
09.11.2020,115.05,107.86
06.11.2020,112.95,105.28
05.11.2020,112.75,104.31
04.11.2020,109.45,101.62
03.11.2020,108.6,98.55
02.11.2020,104.45,99.99
30.10.2020,101.475,103.9
29.10.2020,103.15,107.74
28.10.2020,104.4,108.92
27.10.2020,106.7,108.08
26.10.2020,108.65,108.3
23.10.2020,108.8,111.27
22.10.2020,109.55,109.28
21.10.2020,108.275,111.16
20.10.2020,108.1,109.42
19.10.2020,109.25,111.12
16.10.2020,109.35,111.52
15.10.2020,109.9,112.88
14.10.2020,111.25,110.5
13.10.2020,110.55,111.08
12.10.2020,109.3,109.54
09.10.2020,107.95,108.42
08.10.2020,108.2,107.74
07.10.2020,107.55,106.12
06.10.2020,107.9,104.6
05.10.2020,107.15,108.74
02.10.2020,105.35,107.44
01.10.2020,107.45,109.71
30.09.2020,107.85,104.66
29.09.2020,106.4,102.53201
28.09.2020,103.75,99.79157
25.09.2020,103.2,104.28084
24.09.2020,101.65,101.23391
23.09.2020,103.05,106.31814
22.09.2020,101.55,107.2196
