Дата;Цена;ClosingPrice;DailyHigh;DailyLow;VolumePcs
03.12.2021;159,10000;159,26000;159,36000;158,80000;134
02.12.2021;160,94000;161,92000;161,92000;160,94000;34
01.12.2021;162,60000;162,96000;162,96000;162,60000;24
29.11.2021;152,48000;151,34000;152,76000;151,34000;25
26.11.2021;152,03000;153,00000;153,00000;152,03000;
25.11.2021;157,84000;155,84000;157,84000;155,64000;
24.11.2021;160,00000;156,62000;160,00000;155,91000;
23.11.2021;160,84000;160,85000;160,92000;160,84000;
22.11.2021;162,68000;162,63000;162,93000;162,50000;23
19.11.2021;161,47000;161,55000;161,55000;161,47000;483
18.11.2021;159,59000;159,81000;159,90000;159,54000;
17.11.2021;157,59000;158,19000;158,19000;157,59000;
16.11.2021;156,23000;155,37000;156,24000;155,02000;2726
15.11.2021;155,54000;155,49000;155,86000;155,49000;
12.11.2021;155,87000;155,89000;155,89000;155,87000;
11.11.2021;153,94000;153,94000;153,94000;153,94000;
10.11.2021;153,33000;153,95000;153,99000;152,10000;
09.11.2021;154,82000;154,18000;154,82000;154,18000;
08.11.2021;154,17000;154,15000;154,51000;153,98000;
05.11.2021;152,95000;153,31000;153,31000;152,21000;
04.11.2021;152,33000;153,88000;154,11000;152,19000;226
03.11.2021;151,98000;152,44000;153,42000;151,98000;
02.11.2021;149,03000;150,26000;150,50000;148,78000;19
01.11.2021;149,84000;149,06000;150,33000;149,00000;759
29.10.2021;145,62000;145,58000;145,87000;145,27000;
28.10.2021;146,15000;147,76000;148,86000;146,15000;279
27.10.2021;145,34000;146,17000;147,04000;145,34000;1979
26.10.2021;142,53000;142,85000;142,85000;142,53000;
25.10.2021;142,04000;140,48000;142,12000;140,04000;344
22.10.2021;140,62000;142,28000;142,37000;140,62000;1200
21.10.2021;140,83000;140,53000;141,34000;140,53000;
20.10.2021;142,65000;142,87000;143,13000;142,36000;129
19.10.2021;142,66000;142,89000;143,29000;142,38000;1415
18.10.2021;142,13000;142,61000;143,70000;142,13000;
15.10.2021;144,42000;144,23000;145,06000;144,21000;
14.10.2021;142,81000;144,03000;144,03000;142,15000;1208
13.10.2021;138,06000;139,52000;139,55000;137,82000;
12.10.2021;136,72000;138,94000;138,94000;136,72000;191
11.10.2021;139,39000;138,47000;139,53000;137,93000;253
08.10.2021;141,52000;141,30000;142,01000;140,70000;292
07.10.2021;142,30000;142,99000;142,99000;142,30000;
06.10.2021;140,12000;140,73000;141,10000;139,21000;47
05.10.2021;140,75000;143,15000;143,20000;140,74000;
04.10.2021;141,49000;141,10000;142,97000;141,10000;1621
01.10.2021;141,44000;142,04000;144,00000;141,44000;
30.09.2021;147,03000;144,01000;147,03000;142,93000;11077
29.09.2021;146,30000;144,64000;146,68000;144,64000;
28.09.2021;147,42000;144,08000;147,42000;143,11000;
27.09.2021;149,86000;148,14000;149,86000;148,00000;
24.09.2021;149,24000;149,58000;150,06000;148,83000;
23.09.2021;153,15000;152,35000;153,50000;152,01000;
22.09.2021;150,48000;151,59000;151,81000;150,48000;
21.09.2021;148,60000;147,84000;149,90000;147,46000;27
20.09.2021;148,84000;147,37000;149,05000;146,66000;
17.09.2021;159,02000;153,32000;159,12000;152,98000;50
16.09.2021;156,43000;157,39000;157,51000;156,41000;
15.09.2021;154,65000;153,49000;154,65000;153,11000;
14.09.2021;153,84000;154,35000;154,98000;153,73000;
13.09.2021;153,60000;153,82000;154,39000;153,52000;109
10.09.2021;152,79000;153,39000;153,39000;152,79000;
09.09.2021;150,21000;151,83000;151,83000;150,21000;
08.09.2021;151,18000;150,67000;152,04000;149,78000;11
07.09.2021;153,32000;153,99000;154,88000;153,32000;
06.09.2021;153,82000;154,38000;154,38000;153,75000;
03.09.2021;152,73000;153,76000;154,18000;152,73000;2
02.09.2021;153,87000;154,40000;154,59000;153,87000;143
01.09.2021;152,53000;152,61000;152,77000;151,54000;
31.08.2021;153,49000;150,82000;154,12000;150,82000;
30.08.2021;152,33000;152,99000;152,99000;152,19000;11
27.08.2021;152,02000;151,84000;152,02000;151,84000;
26.08.2021;151,01000;151,02000;151,14000;150,97000;
25.08.2021;151,97000;151,07000;151,99000;151,07000;
24.08.2021;153,00000;152,69000;153,02000;152,55000;
23.08.2021;152,80000;152,48000;152,80000;151,69000;4
20.08.2021;153,70000;151,85000;153,70000;151,82000;
19.08.2021;153,57000;153,76000;154,28000;152,16000;1244
18.08.2021;154,42000;155,17000;155,23000;153,27000;440
17.08.2021;153,37000;154,61000;154,67000;152,89000;104
16.08.2021;152,07000;152,99000;153,19000;152,07000;503
13.08.2021;151,54000;153,10000;153,23000;151,54000;
12.08.2021;152,00000;151,90000;152,00000;150,82000;548
11.08.2021;150,43000;152,00000;152,00000;150,43000;4
