<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>
1,1,12.01.21,001,На участке фрезерный около станка 4-10   сильный сквозняк холодного воздуха из окон. Риск получени ОРЗ
2,2,13.01.21,001,Лопнул шланг охлаждения прессформы  около ТПА вода. 
3,3,14.01.21,001,Разбросаны ломтики от деталей на ТПА 5. опсность подскользнутся
4,4,18.01.21,001,У станка 2.16 разлито техническое масло
5,5,18.01.21,001,Задел ногой контейнер с заготовкой.
6,6,18.01.21,001,Сломан трап у станка 2-10
7,7,18.01.21,001,разлита эмульсия на прохожей части
8,8,19.01.21,001,На станке зингер у основания открутились болты  риск получить травму при работе
9,9,19.01.21,001,На наждаке для зачистки деталей   вывалилась лампочка освещения. Риск получить травму при работе.
10,10,19.01.21,001,На входных воротах оторвана планка   есть риск упасть
11,11,19.01.21,001,у  станка 6-04 сломан трап
12,12,19.01.21,001,возле станка пролита СОЖ
13,13,19.01.21,001,возле станка 1-10 на проходестоит контейнер с деталями  можно споткнутся 
14,14,19.01.21,001,станок 20 № 7 вытекает гидравлика 
15,15,19.01.21,001,ржавые лейки в душевой
16,16,19.01.21,001,около станка 4-05 порвана штора от стружки  стружка разлетается
17,17,18.01.21,001,в месте хранения чертежей расположен стол с незакреплённой столешницей  что может привести к травме сотрудников при её падении.
18,18,19.01.21,001,на участке на стойке с хоз. Инвентарём размещён совак с деформированной ручкой   что может привести к травме
19,19,19.01.21,001,на подножном трапе у станка 7 сломана доска  что может привести к травме
20,20,20.01.21,001,на доске станка 7 размещался молоток с тревнушей рукоядкой  что могло привести к травме
21,21,28.01.21,001,возле станка 1-19 не закреплён шланг одачи воздуха   риск споткнутся
22,22,28.01.21,001,За сверлильными станками на полу лежат шланги при настройке и обслуживании станка возможно зацепится ногой за шланг. Риск получить травму.
23,1,01.02.21,001,Талая вода в большом кол-ве возле станка 1-01 и по всей ширине прохожей части 
24,2,18.02.21,001,В месте хранения бумаги для упаковки торчал нож острой частью наружу
25,3,18.02.21,001,было разлито масло  что могло привести к падению
26,4,18.02.21,001,Контейнер с заготовкой стоит не в положенном месте 
27,5,19.02.21,001,У станка 2-05 была разлита СОЖ
