<DATE>,<CODE>,<DESCR>
12.01.21,001,На участке фрезерный около станка 4-10   сильный сквозняк холодного воздуха из окон  Риск получени ОРЗ
13.01.21,001,Лопнул шланг охлаждения прессформы  около ТПА вода  
14.01.21,001,Разбросаны ломтики от деталей на ТПА 5  опсность подскользнутся
18.01.21,001,У станка 2 16 разлито техническое масло
18.01.21,001,Задел ногой контейнер с заготовкой 
18.01.21,001,Сломан трап у станка 2-10
18.01.21,001,разлита эмульсия на прохожей части
19.01.21,001,На станке зингер у основания открутились болты  риск получить травму при работе
19.01.21,001,На наждаке для зачистки деталей   вывалилась лампочка освещения  Риск получить травму при работе 
19.01.21,001,На входных воротах оторвана планка   есть риск упасть
19.01.21,001,у  станка 6-04 сломан трап
19.01.21,001,возле станка пролита СОЖ
19.01.21,001,возле станка 1-10 на проходестоит контейнер с деталями  можно споткнутся 
19.01.21,001,станок 20 № 7 вытекает гидравлика 
19.01.21,001,ржавые лейки в душевой
19.01.21,001,около станка 4-05 порвана штора от стружки  стружка разлетается
18.01.21,001,в месте хранения чертежей расположен стол с незакреплённой столешницей  что может привести к травме сотрудников при её падении 
19.01.21,001,на участке на стойке с хоз  Инвентарём размещён совак с деформированной ручкой   что может привести к травме
19.01.21,001,на подножном трапе у станка 7 сломана доска  что может привести к травме
20.01.21,001,на доске станка 7 размещался молоток с тревнушей рукоядкой  что могло привести к травме
28.01.21,001,возле станка 1-19 не закреплён шланг одачи воздуха   риск споткнутся
28.01.21,001,За сверлильными станками на полу лежат шланги при настройке и обслуживании станка возможно зацепится ногой за шланг  Риск получить травму 
01.02.21,001,Талая вода в большом кол-ве возле станка 1-01 и по всей ширине прохожей части 
18.02.21,001,В месте хранения бумаги для упаковки торчал нож острой частью наружу
18.02.21,001,было разлито масло  что могло привести к падению
18.02.21,001,Контейнер с заготовкой стоит не в положенном месте 
19.02.21,001,У станка 2-05 была разлита СОЖ
19.02.21,001,Подтекал шланг подачи имульсии   на полу были подтёки жидкости
19.02.21,001,Был выдвинут шкаф на проход   что могло привести к травме
19.02.21,001,забился слив Сож   протекла эмульсия
19.02.21,001,Когда поднимал детали   чуть не ударился об штырь возле столба
19.02.21,001,Около станка 1-37 на полу лежала круглая заготовка   что могло приветси к травме
19.02.21,001,Перегорела лампочка на заточном участке 
19.02.21,001,Загромождён проход к ящику с инструментом контейнерами
19.02.21,001,На станках на кожухах торчат острые углы
19.02.21,001,Мехду станками проложенны трубы  ничем не закрепленны Риск спотыкнутся и упасть
19.02.21,001,Внизу входных ворот большая щель   из неё дует
19.02.21,001,На токарном находился молоток слетевший с рукоядки   была возможность получить травму 
19.02.21,001,На участке хасс плохое освещение над станками 1-07 1-10
19.02.21,001,на участке хранения чертежей   а также у станков 10-16 постоянный приток холодного воздуха  что может привести к массовому заболеванию
20.02.21,001,В душевой комнате для мужчи часть напольгой плитки не закреплена   что может привести к травме
24.02.21,001,на участке зачистки деталей на наждаке   завышано растояние между кругом и основанием 
11.03.21,001,на станке 510 произошла утечка СОЖ
16.03.21,001,На стеллаже для остнастки размещён 3-х кулачковый патрон на высоте свыше 2-х метров   что может привести к травме при его падении
16.03.21,001,отсутствует сферическое зеркало   не видно транспорт при выходе в цех
17.03.21,001,возле станка 1-19 не закреплён шланг подачи воздуха   риск споткнуться и упа сть 
17.03.21,001,на 5 станке лужи имульсии
17.03.21,001,В  месте размещения чертежей размещён писменный стол с незакреплённой сталешницей   что может привести к травме
18.03.21,001,На трапе вылезли гвозди
22.03.21,001,у станка 3-05 было ралито масло   что могло привести к травме
22.03.21,001,Рохля стояла в неположенном месте между станком 1-05 и 1-06
22.03.21,001,Возле входных ворот лежит свёрнутый коврик  возможно получить травму 
22.03.21,001,на кожуках станков присутствуют острые крошки   возможно получить травму 
22.03.21,001,под стеллажём стоит пустая тара 
22.03.21,001,После привоза контейнеров для стружки   остаются лужи от снега 
22.03.21,001,на участке складирования заготовок контейнер стоял не на месте из него торчала габаритная заготовка  что могло привести к травме 
29.03.21,001,Лампа освещения 7-01 перегорела  При работе раск получить травму
29.03.21,001,У накаточного станка  в зажимных кулачках открутился болт  при работе риск получить травму  
06.04.21,001,На участке стоит контейнер с крупногабаритными деталями   которые выступают за пределы разметки  Риск получить травму
06.04.21,001,За станками с 4 по 8 на полу лежат шланги с воздухом  При наладке есть возмоджномть получить травму
14.04.21,001,Табличка указывающая место стоянки тележки для ханвы   сломался крепёж с одной стороны 
20.04.21,001,В рабочем моменте  заметил оголённый провод фонаря над станком 
20.04.21,001,В проходе между стеллажём и токарным хаас валялась коробка для уборки стружки
20.04.21,001,на проходе стоял контейнер с деталями 
20.04.21,001,Обнаружила эмульсию на полу
20.04.21,001,Утечка эмульсии станок 2-05
20.04.21,001,На станке 2-06 на теневой доске находились пассатижи с порваными ручками
20.04.21,001,шланги подачи воздуха проходит поперёк прохода   риск споткнутся и получить травму
20.04.21,001,при замене масла в токарный станок   часть масла попало на рабочее место
20.04.21,001,тележка для перемещения сож была оставлена на проходе 
21.04.21,001,ямы в полу   невозможно довести прессформу на тележке до места
23.04.21,001,рассыпаны гранулы материала возле 5 машины
26.04.21,001,Возле станка 1-19 чуть не споткнулся об шланг из под оздуха   который идёт от столба 
27.04.21,001,У станка 2-17 стоял контейнер не в положенном месте
27.04.21,001,Нет ограждения между рабочим место м раб столом бригадиров при работе станка летит стружка
27.04.21,001,Восле станка стоял контейнер в проходе
27.04.21,001,У станка 2-04 была разлита СОЖ
12.05.21,001,На участке размещалась щётка для уборки со сломанной рукоядкой  что могло привести к травме
14.05.21,001,В контейнере с опилками   лежит бумага  ветошь грязная
14.05.21,001,В месте хранения чертежей на полу размещена не используемая шина заземления  о которую можно споткнутся и получить травму
14.05.21,001,На участке в месте установки компьютера   эл  Розетки слетели с крепления на стене  что могло привести к замыканию или поражению эл  Током работников 
14.05.21,001,на станке 2-05 произошла утечка СОЖ   что могло привести к травме работника и перерасходу ТМЦ
17.05.21,001,Проходя по проходу на фрез  Участке оператор споткнулся о шину заземления не закреплённую на полу  Чуть не упал 
17.05.21,001,На участке   на стеллаже хранения приспособлений крупногабаритная оснастка размещалась на верхней полке   что могло привести к травме работника  при её падении 
18.05.21,001,Во время уборки станка заципился перчаткой за проволку рваного края сетки-фильтра  Травмы рук удалось избежать 
19.05.21,001,На теневой доске станка 2-07  размещён молоток с треснувшей рукоядкой 
24.05.21,001,Около станка 510 стояли заготовки в контейнере с повреждёнными боковыми стенками из проволки  что могло привести к травме работника 
24.05.21,001,Во время работы на станке 2-04 был обнаружен люфт рабочего стола что могло привести к порче ТМЦ или к порче оборудования 
25.05.21,001,На месте хранения раматывателя бумаги  нож лежит в неположенном месте остриём вверх
25.05.21,001,В женской раздевалке засориляс слив в раковине   что может привести к порче ТМЦ и затрудняет гигиенический процедуры
25.05.21,001,В месте хранения чертежей размёщён писменный стол с не закреплённой столешницей   что может привести к травме
25.05.21,001,Около станка 2-16 стояли заготовки в еконтейнере и на деревянном поддоне  который имел видимые повреждения  что могло привести к порче ТМЦ при его далешем использовании или к травме сотрудника при работе с ним 
26.05.21,001,Теолежка с канистрами для розлива СОЖ   чтояла в неположенном месте мешала проходу 
27.05.21,001,Около станка 4-12 на полу лежит стол от станка без ленты ограждения
27.05.21,001,Из под станка вытекла СОЖ
27.05.21,001,возле станка 1-21 было разлито масло
27.05.21,001,не работает освещение на сверлильном станке   размещённом на участке милл   что может привести к травме сотрудника или изготовлению НП 
07.06.21,001,На участке в месте хранения чертежей на полу остатки не используемой шины заземления  что может привести к падению
08.06.21,001,На станке 510 через деформированную заглушку стла   произошла утечка СОЖ
08.06.21,001,На станке 510 № 17 порвана сетка фильтр  что может привести к травме рук  
09.06.21,001,Во время ремонта станка вф 2 № 9 произошла утечка СОЖ и смазки   что могло привести к травме работников при подении на скользком полу
09.06.21,001,На теневой доске станка ВФ 5 размещался гаечный ключ с трещеной   что могло привести к травме рук при работе с ним 
10.06.21,001,На станке СПИНЕР оторвано заземление   что может привести к порче ТМЦ или к поражению электроком 
11.06.21,001,В месте хранения чертежей размещён писменный стол с незакреплёной столешницей
15.06.21,001,Фурнитура на окне имеет повреждения открывается некорректно 
15.06.21,001,Края металического листа   на котором размещён контейнер для стружки   подняты вверх над полом  что может привести к травме 
15.06.21,001,Оператор споткнулся о шину заземления  которая не закреплена к полу на проходе к колонне 15 
17.03.21,001,возле станка 1-15 не закреплён шланг подачи воздуха   риск споткнуться и упа сть 
17.03.21,001,на 8 станке лужи имульсии
18.02.21,001,было разлито масло на полу  что могло привести к падению
18.02.21,001,Контейнер с заготовкой стоит не в положенном месте цеха
19.02.21,001,У станка 2-07 была разлита СОЖ
19.01.21,001,возле станка 1-11 на проходестоит контейнер с деталями  можно споткнутся 
19.01.21,001,станок 22 № 9 вытекает гидравлика 
19.01.21,001,ржавые лейки в душевой 04 цеха
19.01.21,001,около станка 4-07 порвана штора от стружки  стружка разлетается
22.07.21,001,на участке контейнеры с заготовками размещенны в три яруса  создавая риск их падения и нанесения травмы
23.07.21,001,на станке 9 обнаружен напильник с повреждённой рукоядкой  что может привести к травме 
23.07.21,001,Перегорела лампа оствещения 
26.07.21,001,на трапе станка 7 треснула одна из досок  что может привести к травме рабочего
