<Date>,<CHECKED>,<DEFECTS>
11.янв,200,1
12.янв,189,3
13.янв,255,2
14.янв,245,2
15.янв,255,2
18.янв,416,4
22.янв,467,4
27.янв,245,2
28.янв,294,3
29.янв,72,1
01.фев,222,2
02.фев,117,2
04.фев,272,2
10.фев,350,2
11.фев,168,2
12.фев,422,3
15.фев,210,1
16.фев,1020,5
17.фев,840,4
19.фев,1117,7
20.фев,840,6
24.фев,213,3
25.фев,218,2
26.фев,90,2
01.мар,1633,12
02.мар,1039,8
03.мар,978,6
04.мар,72,1
05.мар,978,6
09.мар,256,2
10.мар,141,2
11.мар,90,2
12.мар,365,3
15.мар,90,2
16.мар,13,1
17.мар,195,2
18.мар,982,4
19.мар,90,2
22.мар,821,6
23.мар,296,2
25.мар,320,1
26.мар,210,1
31.мар,96,1
05.апр,1183,9
06.апр,572,3
07.апр,752,5
08.апр,648,5
09.апр,96,1
12.апр,611,5
13.апр,437,4
14.апр,651,5
15.апр,712,6
16.апр,767,6
19.апр,787,6
20.апр,788,6
21.апр,692,5
22.апр,471,7
23.апр,767,5
26.апр,582,5
27.апр,1133,8
28.апр,1029,8
29.апр,731,7
30.апр,853,7
04.май,626,7
05.май,845,7
06.май,736,6
11.май,782,7
12.май,578,6
13.май,426,6
14.май,421,4
17.май,424,4
18.май,492,5
19.май,611,5
20.май,330,5
21.май,566,4
24.май,710,6
25.май,445,5
26.май,488,4
27.май,725,5
28.май,1002,9
31.май,806,7
01.июн,942,6
02.июн,2160,4
03.июн,822,6
04.июн,680,6
07.июн,584,5
08.июн,626,7
09.июн,898,6
10.июн,734,6
11.июн,512,4
15.июн,624,5
16.июн,581,6
17.июн,805,7
18.июн,839,7
21.июн,677,7
22.июн,798,6
23.июн,717,6
24.июн,778,6
25.июн,1076,7
28.июн,822,6
29.июн,918,7
30.июн,757,6
01.июл,680,4
02.июл,872,6
05.июл,726,5
06.июл,744,6
07.июл,1031,9
08.июл,976,6
09.июл,733,6
12.июл,800,5
13.июл,2216,6
14.июл,907,7
15.июл,882,6
16.июл,693,6
19.июл,862,6
20.июл,764,7
21.июл,811,6
26.июл,734,6
27.июл,702,5
29.июл,800,5
30.июл,752,5
