<Date>,<CHECKED>,<DEFECTS>
11.01.2021,200,1
12.01.2021,189,3
13.01.2021,255,2
14.01.2021,245,2
15.01.2021,255,2
18.01.2021,416,4
22.01.2021,467,4
27.01.2021,245,2
28.01.2021,294,3
29.01.2021,72,1
01.02.2021,222,2
02.02.2021,117,2
04.02.2021,272,2
10.02.2021,350,2
11.02.2021,168,2
12.02.2021,422,3
15.02.2021,210,1
16.02.2021,1020,5
17.02.2021,840,4
19.02.2021,1117,7
20.02.2021,840,6
24.02.2021,213,3
25.02.2021,218,2
26.02.2021,90,2
01.03.2021,1633,12
02.03.2021,1039,8
03.03.2021,978,6
04.03.2021,72,1
05.03.2021,978,6
09.03.2021,256,2
10.03.2021,141,2
11.03.2021,90,2
12.03.2021,365,3
15.03.2021,90,2
16.03.2021,13,1
17.03.2021,195,2
18.03.2021,982,4
19.03.2021,90,2
22.03.2021,821,6
23.03.2021,296,2
24.03.2021,320,1
25.03.2021,210,1
26.03.2021,96,1
27.03.2021,1183,9
28.03.2021,572,3
29.03.2021,752,5
30.03.2021,648,5
31.03.2021,96,1
01.04.2021,611,5
02.04.2021,437,4
03.04.2021,651,5
04.04.2021,712,6
05.04.2021,767,6
06.04.2021,787,6
07.04.2021,788,6
08.04.2021,692,5
09.04.2021,471,7
10.04.2021,767,5
11.04.2021,582,5
12.04.2021,1133,8
13.04.2021,1029,8
14.04.2021,731,7
15.04.2021,853,7
16.04.2021,626,7
17.04.2021,845,7
18.04.2021,736,6
19.04.2021,782,7
20.04.2021,578,6
21.04.2021,426,6
22.04.2021,421,4
23.04.2021,424,4
24.04.2021,492,5
25.04.2021,611,5
26.04.2021,330,5
27.04.2021,566,4
28.04.2021,710,6
29.04.2021,445,5
30.04.2021,488,4
01.05.2021,725,5
02.05.2021,1002,9
03.05.2021,806,7
04.05.2021,942,6
05.05.2021,2160,4
06.05.2021,822,6
07.05.2021,680,6
08.05.2021,584,5
09.05.2021,626,7
10.05.2021,898,6
11.05.2021,734,6
12.05.2021,512,4
13.05.2021,624,5
14.05.2021,581,6
15.05.2021,805,7
16.05.2021,839,7
17.05.2021,677,7
18.05.2021,798,6
19.05.2021,717,6
20.05.2021,778,6
21.05.2021,1076,7
22.05.2021,822,6
23.05.2021,918,7
24.05.2021,757,6
25.05.2021,680,4
26.05.2021,872,6
27.05.2021,726,5
28.05.2021,744,6
29.05.2021,1031,9
30.05.2021,976,6
31.05.2021,733,6
01.06.2021,800,5
02.06.2021,2216,6
03.06.2021,907,7
04.06.2021,882,6
05.06.2021,693,6
06.06.2021,862,6
07.06.2021,764,7
08.06.2021,811,6
09.06.2021,734,6
10.06.2021,702,5
11.06.2021,800,5
12.06.2021,752,5
