№,Дата_выявл,Решение1,Решение2,Внесение_затрат,"Дата_Акта/
Дата_решения",Дата_протокола
1,0,1,4,7,415,417
2,10,11,345,368,539,543
3,43,43,49,64,415,417
4,73,73,79,122,413,417
5,79,80,86,91,414,417
6,81,82,126,147,413,417
7,92,133,273,276,427,427
8,95,95,144,501,521,522
9,100,100,102,102,406,410
10,127,128,140,515,568,568
11,158,163,168,169,499,500
12,163,163,163,164,407,410
13,164,165,165,170,409,410
14,165,165,170,170,553,555
15,169,169,172,190,414,417
16,169,169,170,171,469,470
17,169,169,169,172,466,470
18,176,177,177,179,407,410
19,176,176,177,177,407,410
20,177,177,179,182,407,410
21,177,178,183,183,554,555
22,178,179,179,493,494,494
23,182,185,185,186,554,555
24,185,186,190,190,554,555
25,186,189,190,303,508,508
26,189,189,193,203,508,508
27,190,197,207,235,499,500
28,192,197,225,233,508,508
29,197,198,210,246,528,529
30,199,199,295,408,409,410
31,204,205,210,210,493,494
32,207,210,252,252,415,417
33,207,208,210,492,499,500
34,211,212,235,240,415,417
35,212,213,213,312,415,417
36,212,217,219,247,415,417
37,214,214,219,494,505,508
38,214,217,494,234,500,501
39,214,217,240,256,520,522
40,218,218,240,252,415,417
41,221,221,226,423,423,424
42,221,221,227,494,506,508
43,224,224,225,225,493,494
44,227,231,296,368,521,522
45,235,245,247,247,415,417
46,239,239,245,245,532,534
47,239,240,241,241,515,515
48,242,245,259,260,513,514
49,245,246,247,260,504,508
50,245,246,252,255,414,417
51,245,245,253,256,520,522
52,246,247,256,505,522,522
53,248,249,253,254,414,417
54,248,252,252,493,527,529
55,248,249,256,368,521,522
56,248,249,259,260,554,555
57,252,252,267,501,514,514
58,252,252,252,252,577,576
59,253,254,259,260,498,500
60,254,254,256,260,465,466
61,254,254,267,498,506,508
62,255,255,255,255,499,500
63,255,255,255,255,498,500
64,255,256,256,256,553,555
65,255,256,267,267,554,555
66,256,260,262,276,532,536
67,256,259,267,267,554,555
68,260,260,267,267,499,500
69,261,262,262,499,514,514
70,261,262,276,521,540,542
71,262,264,269,499,506,508
72,262,262,267,267,500,501
73,263,263,266,499,514,514
74,263,267,267,268,521,522
75,264,266,268,268,499,500
76,264,268,273,499,506,508
77,264,268,273,500,522,522
78,266,266,270,270,407,410
79,266,267,274,275,499,500
80,266,266,270,532,541,542
81,266,267,268,268,553,555
82,266,266,266,273,582,591
83,267,267,269,273,414,417
84,267,268,270,270,532,534
85,268,270,270,499,514,514
86,268,268,275,301,522,522
87,269,270,273,274,513,514
88,269,270,270,270,499,500
89,271,273,276,529,541,542
90,273,273,276,276,476,480
91,273,276,294,294,506,508
92,273,273,275,500,513,514
93,273,275,295,295,505,508
94,273,275,275,281,555,556
95,274,275,294,301,500,501
96,274,274,275,500,514,514
97,274,276,281,500,513,514
98,274,275,283,504,514,514
99,274,276,294,501,515,515
100,274,276,288,289,501,501
101,274,277,277,280,567,570
102,276,276,277,296,436,438
103,276,277,284,284,546,547
104,277,287,288,297,436,438
105,277,277,310,310,511,512
106,277,280,282,408,408,410
107,283,283,284,284,505,508
108,284,287,294,294,501,501
109,285,287,301,302,501,501
110,287,290,312,312,514,514
111,288,289,312,312,567,568
112,289,289,301,302,506,508
113,289,289,312,312,506,508
114,289,289,301,302,500,501
115,289,290,304,305,532,534
116,289,289,296,308,533,536
117,290,291,291,365,416,417
118,290,291,312,315,505,508
119,290,291,312,312,504,508
120,291,295,301,302,590,591
121,294,295,312,312,507,508
122,294,295,312,312,513,514
123,294,295,295,295,504,508
124,294,295,295,295,567,568
125,295,296,312,312,514,514
126,295,295,296,301,476,480
127,295,296,308,312,514,514
128,298,301,312,312,500,501
129,298,301,302,312,514,514
130,298,298,312,312,514,514
131,298,298,312,312,532,534
132,301,302,312,315,504,508
133,301,301,315,315,533,536
134,302,303,310,310,514,514
135,303,304,312,312,512,512
136,303,303,312,312,512,512
137,305,308,336,505,512,512
138,308,308,309,309,512,512
139,308,308,308,312,529,529
140,308,310,329,336,567,568
141,310,310,368,476,479,479
142,310,310,311,311,492,494
143,310,310,311,311,567,568
144,311,311,329,329,511,512
145,311,312,333,346,520,522
146,312,312,317,394,533,536
147,313,315,326,326,528,529
148,315,315,324,444,451,452
149,315,316,336,336,504,508
150,316,318,329,499,512,512
151,316,316,317,466,478,479
152,316,316,316,316,512,512
153,316,317,324,324,512,512
154,316,316,324,324,515,515
155,319,319,324,324,500,501
156,322,322,336,336,512,512
157,322,322,324,324,512,512
158,322,322,336,336,501,501
159,323,323,325,325,512,512
160,323,323,336,336,501,501
161,323,323,336,336,529,529
162,324,325,336,339,507,508
163,324,324,336,336,512,512
164,327,329,331,336,577,576
165,329,331,346,347,512,512
166,329,329,331,331,512,512
167,330,331,336,505,512,512
168,331,331,345,345,528,529
169,331,333,336,337,512,512
170,331,332,336,336,529,529
171,331,332,350,350,536,536
172,332,333,409,409,422,422
173,332,333,357,506,546,547
174,337,338,343,466,480,484
175,345,346,368,385,521,522
176,346,346,346,347,406,410
177,346,346,368,476,480,484
178,347,347,357,504,512,512
179,347,351,371,506,512,512
180,348,350,360,361,591,591
181,350,351,358,385,413,414
182,351,351,360,361,511,512
183,351,351,354,385,409,414
184,351,351,358,385,409,414
185,351,352,357,435,504,508
186,353,354,359,364,429,430
187,353,354,357,357,583,591
188,354,354,357,357,409,410
189,354,357,388,389,413,414
190,357,357,360,504,513,514
191,357,359,360,360,511,512
192,358,360,366,367,414,417
193,359,359,375,376,504,508
194,359,360,367,507,513,514
195,359,366,368,388,521,522
196,360,361,364,364,514,514
197,360,364,364,365,511,512
198,360,361,364,364,520,522
199,360,361,371,371,567,568
200,361,366,367,507,543,547
201,362,364,365,366,436,438
202,364,365,367,501,511,512
203,364,366,367,368,511,512
204,364,365,368,390,413,414
205,364,364,365,374,410,410
206,364,364,366,367,520,522
207,365,365,366,374,410,410
208,365,367,381,385,413,417
209,366,366,367,390,413,414
210,366,366,373,374,436,438
211,366,366,368,371,409,410
212,367,368,372,373,423,424
213,367,368,373,374,436,438
214,367,367,371,371,522,522
215,368,368,368,406,409,410
216,368,368,372,378,406,410
217,368,368,368,390,521,522
218,369,371,371,414,563,563
219,369,369,371,556,596,598
220,370,371,372,390,408,408
221,370,371,372,507,511,512
222,371,371,373,373,409,410
223,371,371,372,373,499,500
224,372,372,373,374,406,410
225,372,372,373,374,406,410
226,372,373,381,385,410,410
227,372,373,373,385,417,422
228,372,373,378,505,527,528
229,373,374,375,507,511,512
230,373,374,410,471,522,522
231,374,374,375,390,408,408
232,374,374,379,379,473,473
233,374,374,375,394,473,473
234,374,375,392,413,497,501
235,374,378,387,406,521,522
236,375,375,378,390,408,408
237,375,375,379,390,408,408
238,375,375,383,385,424,424
239,375,378,383,385,427,427
240,375,375,382,472,491,491
241,375,378,381,382,574,577
242,376,378,378,390,408,408
243,378,379,382,383,414,417
244,378,379,380,390,408,408
245,378,379,382,390,409,414
246,380,380,389,389,427,427
247,381,382,385,504,511,512
248,382,382,388,472,499,500
249,382,382,392,511,515,515
250,382,385,389,389,493,494
251,385,386,389,389,423,424
252,385,386,394,394,422,422
253,385,385,392,423,428,430
254,386,387,389,389,427,427
255,386,387,394,471,485,486
256,386,387,394,415,521,522
257,387,387,417,409,417,417
258,387,388,392,392,413,417
259,387,387,406,408,428,430
260,388,388,389,389,422,422
261,388,389,392,392,513,514
262,388,388,389,392,500,501
263,389,389,408,408,409,414
264,389,392,413,414,420,422
265,389,389,393,393,423,424
266,389,389,390,415,521,522
267,392,392,393,394,533,536
268,392,406,413,435,521,522
269,393,394,395,395,473,473
270,393,393,408,408,422,422
271,393,394,395,472,522,522
272,394,394,408,408,422,422
273,395,395,395,395,501,501
274,407,408,409,409,472,473
275,408,408,409,409,428,430
276,409,409,410,413,413,417
277,409,409,413,428,429,430
278,409,410,410,413,420,422
279,409,409,414,414,431,438
280,409,410,416,421,422,422
281,409,409,413,413,424,424
282,410,410,410,411,423,424
283,410,410,413,428,429,430
284,410,413,427,470,491,491
285,413,414,418,421,423,424
286,413,413,413,428,429,430
287,413,414,429,429,452,455
288,413,414,414,414,471,472
289,414,415,415,428,429,430
290,414,415,428,428,451,452
291,414,415,428,428,471,472
292,414,415,417,428,429,430
293,414,414,493,493,500,501
294,415,415,420,420,422,422
295,415,416,420,420,428,430
296,415,415,416,470,515,515
297,416,416,428,428,451,452
298,416,416,417,428,429,430
299,416,417,421,428,429,430
300,416,416,421,437,451,452
301,416,417,420,420,428,430
302,416,417,417,417,470,472
303,416,417,427,427,471,472
304,416,417,427,427,472,473
305,416,417,421,421,472,473
306,416,420,464,464,554,576
307,416,420,442,442,554,555
308,417,420,428,428,451,452
309,417,420,423,427,429,431
310,417,417,420,420,471,472
311,417,417,420,420,422,423
312,420,421,423,427,455,455
313,420,421,422,422,429,430
314,420,420,423,441,490,491
315,420,420,431,473,570,570
316,421,422,442,442,499,500
317,421,422,430,430,434,438
318,421,422,427,428,430,438
319,421,421,422,422,471,472
320,421,422,423,427,466,470
321,421,421,427,427,472,473
322,421,422,427,427,472,473
323,421,421,423,424,435,438
324,422,422,428,428,429,430
325,422,422,444,444,444,445
326,422,422,445,446,448,452
327,423,423,428,442,448,452
328,423,423,427,428,430,438
329,424,427,441,442,445,452
330,424,424,466,466,483,484
331,427,428,429,442,448,452
332,427,427,428,428,452,455
333,427,428,442,442,452,455
334,427,429,437,442,448,452
335,427,427,427,470,515,515
336,427,428,429,511,529,529
337,428,428,431,451,459,466
338,428,428,429,451,459,466
339,428,429,435,451,465,466
340,428,429,430,451,459,466
341,428,428,428,428,471,472
342,428,430,435,436,554,555
343,428,429,442,442,554,555
344,429,429,431,431,435,438
345,429,430,431,459,465,466
346,429,430,430,431,435,438
347,429,430,434,434,441,445
348,429,430,435,436,484,486
349,430,431,435,459,466,470
350,430,431,436,436,445,452
351,431,434,434,435,436,438
352,431,431,435,459,466,470
353,431,434,438,441,451,452
354,431,434,438,445,459,466
355,431,434,435,486,490,491
356,431,431,435,511,529,529
357,434,434,451,451,464,466
358,434,434,438,459,465,466
359,434,436,448,459,465,466
360,434,434,436,436,444,445
361,434,435,435,436,445,452
362,434,435,508,513,554,556
363,435,435,436,466,478,479
364,436,437,442,442,445,452
365,437,437,438,438,451,452
366,437,438,466,466,483,484
367,437,438,438,438,445,452
368,438,442,443,466,479,479
369,438,441,444,445,459,466
370,441,442,448,448,458,466
371,442,442,443,443,444,445
372,442,443,448,466,479,479
373,442,443,448,466,479,479
374,442,443,445,466,479,479
375,442,444,452,452,459,466
376,442,443,470,471,486,486
377,442,443,464,469,567,568
378,443,444,445,470,479,479
379,443,444,445,470,479,479
380,443,443,445,470,479,479
381,443,444,448,449,458,466
382,443,443,448,464,492,494
383,443,444,470,471,553,555
384,444,445,448,472,479,479
385,444,445,448,487,490,491
386,445,448,448,472,479,479
387,445,445,457,477,480,484
388,445,448,448,477,480,484
389,445,448,466,466,483,484
390,448,449,456,456,459,480
391,449,451,465,465,471,472
392,449,452,464,464,567,568
393,451,452,452,478,480,484
394,451,451,456,456,459,466
395,452,452,470,471,515,515
396,452,452,452,456,466,470
397,452,452,455,455,460,466
398,455,455,455,473,476,480
399,455,456,457,457,458,480
400,455,456,457,478,480,484
401,455,457,458,458,460,466
402,455,456,458,458,554,555
403,456,456,457,457,459,466
404,456,456,460,465,469,470
405,456,457,458,492,507,508
406,456,456,457,493,507,508
407,457,458,464,464,511,512
408,457,457,460,460,465,466
409,457,458,464,464,486,486
410,457,458,460,460,460,466
411,457,458,465,492,507,508
412,457,458,466,466,554,555
413,457,458,469,470,554,555
414,458,459,466,466,505,508
415,458,458,465,466,476,480
416,458,458,460,460,460,466
417,458,458,466,469,485,486
418,458,459,471,492,511,512
419,458,459,588,588,596,598
420,459,460,460,464,473,473
421,459,460,466,493,511,512
422,459,460,466,466,543,547
423,459,459,493,493,527,528
424,460,460,486,486,486,486
425,460,464,465,465,470,472
426,460,460,470,470,493,494
427,460,460,465,500,507,508
428,461,464,469,469,554,555
429,464,464,464,465,476,480
430,464,465,466,466,483,484
431,464,465,472,473,476,479
432,464,465,465,500,507,508
433,464,464,466,508,541,542
434,464,464,470,472,567,568
435,464,466,469,512,548,555
436,465,465,472,472,476,480
437,465,465,465,500,507,508
438,465,465,469,500,507,508
439,465,466,466,504,512,512
440,466,469,470,470,476,480
441,466,469,479,486,493,494
442,466,469,469,504,512,512
443,466,466,469,504,512,512
444,467,469,470,472,501,501
445,469,470,470,470,483,486
446,469,471,478,478,483,484
447,469,469,472,473,483,484
448,470,470,473,473,476,480
449,470,471,471,472,505,508
450,470,471,471,504,522,522
451,470,470,471,504,527,528
452,470,471,471,504,527,528
453,470,470,472,504,527,528
454,471,472,473,473,483,484
455,471,477,478,479,491,491
456,471,471,472,504,527,528
457,471,472,473,504,522,522
458,471,471,480,511,529,529
459,471,472,473,476,567,568
460,472,473,477,479,480,480
461,472,472,472,476,480,484
462,472,472,478,492,493,494
463,472,473,490,490,515,515
464,472,472,473,504,527,528
465,472,476,476,505,527,528
466,472,473,483,505,521,522
467,472,473,476,505,527,528
468,472,472,476,508,549,556
469,475,476,478,478,485,486
470,475,476,477,477,491,491
471,476,476,512,512,532,536
472,477,478,479,479,480,484
473,477,477,491,492,493,494
474,477,477,486,486,514,514
475,477,477,477,478,493,494
476,477,477,536,536,541,542
477,477,478,480,505,527,528
478,478,479,492,492,505,508
479,478,478,479,480,485,486
480,478,478,480,480,486,486
481,478,478,478,505,527,528
482,479,479,483,484,546,547
483,480,480,484,484,491,491
484,480,480,480,506,541,542
485,483,484,484,484,491,491
486,483,484,486,486,511,512
487,483,484,485,485,492,494
488,483,483,484,506,513,514
489,483,483,505,505,527,528
490,483,483,486,507,541,542
491,484,485,486,486,514,514
492,484,485,486,486,490,491
493,484,485,485,507,513,514
494,484,484,485,486,527,529
495,484,485,485,508,541,542
496,484,485,508,535,541,543
497,485,485,485,485,490,491
498,485,486,490,492,498,500
499,485,486,491,508,513,514
500,485,486,490,490,546,547
501,485,486,486,508,541,542
502,486,487,490,490,490,491
503,486,487,491,508,541,542
504,486,486,490,490,582,591
505,487,487,490,490,490,491
506,490,491,491,491,515,515
507,490,491,492,493,528,529
508,490,490,491,491,527,528
509,491,491,493,494,511,512
510,491,491,497,498,522,522
