<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>,
1,1,17.02.22,001,С радиатора капает вода ,
2,2,03.02.22,001,станок 5-06 кожух на движке держится болтах   которые постоянно откручиваются и в итоге кожух висит на вентиляторе. Раздаётся треск,
3,3,24.02.22,001,шланги с воздухом  валяются на полу возможно споткнутся.,
4,1,07.02.22,002,"Не убраны и не обозначены сигнальной лентой строительные леса подрядной организации производящей ремонт колон  перекатывая телегу на участок окраски шин чуть не столкнулся с ними.
",
5,2,08.02.22,002,Напольная тележка (рохля) оставлена на проходе с контейнером  что может привести к столкновению с ним и получению травмы,
6,3,03.02.22,002,На ступенях крыльца центральной проходной лёд.Движение по ним может привести к падению и травме.,
7,1,07.02.22,004,В кабинете ПРБ на полу торчит шуруп об который можно споткнуться.,
8,2,07.02.22,004,На входе в цех со стороны холодного склада образовалась наледь ,
9,3,07.02.22,004,На входе в цех со стороны холодного склада образовались большие сосульки,
10,4,07.02.22,004,В раздевалке на первом этаже в душевой провисает потолок.,
11,5,09.02.22,004,Лежал сломанный поддон,
12,6,09.02.22,004,Возле F2 неровные полы есть риск споткнуться и упасть.,
13,7,16.02.22,004,Над вторыми воротами образовались большие сосульки.,
14,8,16.02.22,004,Возле станка Шредер из контейнера торчит обрезь.,
15,9,16.02.22,004,У входа очень скользко,
16,10,17.02.22,004,Крепление к земле светового столба. Мешают выступающие части за которые можно споткнуться и получить травму.,
17,11,16.02.22,004,Возле ВМ-200 разбит пол. ,
18,12,16.02.22,004,На ЛУ №3 с торца оторвался металический уголок. Есть риск споткнуться и получить травму.,
19,13,16.02.22,004,На центральной проходной очень скользкий пол  постоянная угроза упасть.,
20,14,17.02.22,004,Около пожарнрго гидранта №22 торчит полоса заземления - риск падения,
21,15,17.02.22,004,Возле гильотинных ножниц GUIFIL рядом с заземлением торчит кусок арматуры. Риск падения,
22,16,17.02.22,004,Возле колонны №5 стоят поддоны. Риск падения,
23,17,17.02.22,004,На участке разошлись стены - видно улицу.,
24,18,17.02.22,004,На лестнице в мужскую раздевалку ступеньки отколоты. Можно оступиться и упасть.,
25,19,17.02.22,004,Заменить держатель ножа Ш1-5225,
